A0166-2A72-01,A0166-2A72-02_Throughput,0
A0166-2A72-01,NNH-2A72-01_Throughput,0
A0166-2A72-02,A0166-2A72-01_Throughput,0
A0166-2A72-02,NNH-2A72-02_Throughput,0
A0263-2A72-01,A0263-2A72-02_Throughput,0
A0263-2A72-01,NNH-1A75-01_Throughput,0
A0263-2A72-01,NNH-2A72-01_Throughput,0
A0263-2A72-02,A0263-2A72-01_Throughput,0
A0263-2A72-02,NNH-1A75-02_Throughput,0
A0263-2A72-02,NNH-2A72-02_Throughput,0
A0305-2A72-01,A0305-2A72-02_Throughput,0
A0305-2A72-01,NNH-2A72-01_Throughput,0
A0305-2A72-01,TM01R_Throughput,0
A0305-2A72-01,TM02R_Throughput,0
A0305-2A72-01,TM03R_Throughput,0
A0305-2A72-01,TM04R_Throughput,0
A0305-2A72-01,TM05R_Throughput,0
A0305-2A72-02,A0305-2A72-01_Throughput,0
A0305-2A72-02,NNH-2A72-02_Throughput,0
A0305-2A72-02,TM01R_Throughput,0
A0305-2A72-02,TM02R_Throughput,0
A0305-2A72-02,TM03R_Throughput,0
A0305-2A72-02,TM04R_Throughput,0
A0305-2A72-02,TM05R_Throughput,0
A2421-2A72-01,A2421-2A72-02_Throughput,0
A2421-2A72-01,NNH-2A72-01_Throughput,0
A2421-2A72-02,A2421-2A72-01_Throughput,0
A2421-2A72-02,NNH-2A72-02_Throughput,0
AWH-2A72-01,NSY-2A72-01_Throughput,0
AWH-2A72-01,NSY-2A72-02_Throughput,0
AWS-2A72-01,NSY-2A72-01_Throughput,0
AWS-2A72-01,NSY-2A72-02_Throughput,0
Amazon,router_nttmx_1_ae0_42_log,0
B0102-2A72-01,TC01R_Throughput,0
B0102-2A72-01,TC02R_Throughput,0
B0102-2A72-01,TC03R_Throughput,0
B0102-2A72-01,TC04R_Throughput,0
B0102-2A72-01,TC05R_Throughput,0
B0102-2A72-02,TC01R_Throughput,0
B0102-2A72-02,TC02R_Throughput,0
B0102-2A72-02,TC03R_Throughput,0
B0102-2A72-02,TC04R_Throughput,0
B0102-2A72-02,TC05R_Throughput,0
CT,router_hkmx480_ae0_405_log,0
CTP-1A75-01,SCJ-1A75-01_Throughput,0
CTP-1A75-02,NPC-1A75-01_Throughput,0
CTP-2A72-01,TD08R_Throughput,0
CTP-2A72-01,TD09R_Throughput,0
CTP-2A72-01,TD10R_Throughput,0
CTP-2A72-01,TD11R_Throughput,0
CTP-2A72-01,TD12R_Throughput,0
CTP-2A72-01,TD13R_Throughput,0
CTP-2A72-01,TD14R_Throughput,0
CTP-2A72-02,TD08R_Throughput,0
CTP-2A72-02,TD09R_Throughput,0
CTP-2A72-02,TD10R_Throughput,0
CTP-2A72-02,TD11R_Throughput,0
CTP-2A72-02,TD12R_Throughput,0
CTP-2A72-02,TD13R_Throughput,0
CTP-2A72-02,TD14R_Throughput,0
CTP-2A72-03,TD15R_Throughput,0
CTP-2A72-04,TD15R_Throughput,0
CTP-3A23-01,TD01R_Throughput,0
CTP-3A23-01,TD02R_Throughput,0
CTP-3A23-01,TD04R_Throughput,0
CTP-3A23-01,TD07R_Throughput,0
CTP-3A23-02,TD01R_Throughput,0
CTP-3A23-02,TD02R_Throughput,0
CTP-3A23-02,TD04R_Throughput,0
CTP-3A23-02,TD07R_Throughput,0
F0109-2A72-01,NNH-2A72-01_Throughput,0
F0109-2A72-01,NNH-2A72-02_Throughput,0
FKHPE.SRT001,KS01MC_Throughput,0
FKHPE.SRT001,KS02MC_Throughput,0
FKHPE.SRT002,KS01MC_Throughput,0
FKHPE.SRT002,KS02MC_Throughput,0
FKHPE.SRT003,HLR13_Throughput,0
FKHPE.SRT003,KS01MG_Throughput,0
FKHPE.SRT003,KS02MG_Throughput,0
FKHPE.SRT003,KSSTP_Throughput,0
FKHPE.SRT004,HLR13_Throughput,0
FKHPE.SRT004,KS01MG_Throughput,0
